Biodiesel;C8:0;C10:0;C12:0;C14:0;C16:0;C16:1;C17:0;C17:1;C18:0;C18:1;C18:2;C18:3;C20:0;C20:1;C20:2;C22:0;C22:1;C24:0;C24:1;Total;? (mm2/s)
Jatropha;;;;  0.15;17.08;0.99;;;11.02;34.29;36.09;  0.39;;  0.37;;;;;;100.38;4.44
Waste frying ;;;;  0.10;  6.39;0.20;;;  3.57;33.89;54.86;;;  0.23;;0.59;;;;  99.83;4.36
Yellow Grease ;;;;  0.1;16.1;;;;  4.0;31.4;46.1;  2.3;;;;;;;;100.0;4.55
Biodiesel;;;;  0.3;18.6;0.8;;;  4.5;32.0;39.7;  4.0;;;;;;;;  99.9;4.26
Forsythia suspense;;;;;  5.65;;;;  1.99;18.68;72.89;  0.79;;;;;;;;100;3.79
Jatropha;;;;;14.2;1.1;;;  6.8;43.1;34.3;  0.5;;;;;;;;100.0;4.40
Sun?ower;;;;;  6.80;;;;  3.26;16.93;73.73;;;;;;;;;100.72;4.10
Soybean;;;;  0.15;15.85;0.13;;;  5.22;27.68;49.24;  0.07;0.62;  0.34;;0.70;;;;100.00;4.34
Amygdalus pedunculata;;;;;  2.45;0.10;;;  0.41;68.18;27.23;  0.56;;  0.31;;0.02;0.75;;;100.01;4.695
Guizotia abyssinica;;;;;  9.2;;;;10.1;  9.0;71.7;;;;;;;;;100.0;4.30
Pumpkin;;;  0.01;  0.11;12.51;0.15;0.08;0.04;  5.43;37.07;43.72;  0.18;0.39;  0.11;;0.12;0.02;0.06;;100.00;4.41
Soybean;;;;;11.32;;;;;25.68;54.94;  8.07;;;;;;;;100.01;3.96
Colza;;;;;  3.99;;;;  3.91;56.67;23.61;  9.88;1.94;;;;;;;100.00;4.47
Cotton seed;;;;  0.62;24.09;;;;  2.56;15.74;56.99;;;;;;;;;100.00;3.99
Fish;;;;  3.76;  5.66;28.09;;;  7.46;42.29;12.74;;;;;;;;;100.00;44.146
Sunflower;;;;;  7.1;;;;  4.8;22.6;65.5;;;;;;;;;100.0;42.893
Soy and Rapeseed;;;  0.02;  0.13;10.57;0.13;;;  2.66;41.05;36.67;  7.10;0.44;  0.67;;0.45;0.12;;;100.01;4.192
Olive;;;;14.5;  1.7;;;;  2.8;64.6;15.3;  0.6;0.5;;;;;;;100.0;4.52
Palm;;;  0.27;  0.81;44.33;0.19;;;  4.97;39.12;10.11;  0.20;;;;;;;;100.00;4.415
Jatropha;; 0.10;;  0.10;14.10;0.65;;;  6.85;43.69;34.21;  0.15;0.15;;;;;;;100.00;4.352
Jatropha;;;;;16.8;;;;  7.7;39.1;36.0;0.2;;;;;;;;  99.8;4.38
